"number";"player";"position";"apps";"min";"goals";"assists";"sp90m";"kp90";"xG";"xA";"xG90";"xA90"
1;"Jude Bellingham";"F M";28;2351;19;6;2.41;1.84;12.97;5.89;0.5;0.23
2;"Vinícius Júnior";"F M";26;1902;15;5;3.69;1.47;16;4.43;0.76;0.21
3;"Joselu";"F";34;1631;10;2;3.48;0.66;13.56;2.33;0.75;0.13
4;"Rodrygo";"F";34;2426;10;5;3.23;1.71;12.43;4.42;0.46;0.16
5;"Brahim Diaz";"F M";31;1548;8;6;2.21;1.74;7.06;5.1;0.41;0.3
6;"Arda Güler";"F M";10;365;6;0;3.7;0.49;1.99;0.18;0.49;0.04
7;"Daniel Carvajal";"D";28;2191;4;3;0.74;0.86;2.58;2.85;0.11;0.12
8;"Lucas Vázquez";"D";29;1385;3;5;0.71;1.88;1.48;5.11;0.1;0.33
9;"Aurelien Tchouameni";"D M";27;1989;3;1;1.22;0.45;1.13;1.02;0.05;0.05
10;"Luka Modric";"M";32;1673;2;6;1.34;2.96;1.23;7.65;0.07;0.41
11;"Federico Valverde";"M";37;2931;2;7;1.72;1.5;4.2;6.22;0.13;0.19
12;"Antonio Rüdiger";"D";33;2704;1;0;0.63;0.17;1.83;1.11;0.06;0.04
13;"Toni Kroos";"M";33;2152;1;8;1.46;2.59;1.73;6.07;0.07;0.25
14;"Fran García";"D";25;1377;1;5;0.59;1.05;0.86;2.61;0.06;0.17
15;"David Alaba";"D";14;1154;0;1;1.09;0.78;1.29;0.84;0.1;0.07
16;"Thibaut Courtois";"GK";4;336;0;0;0;0.27;0;0.18;0;0.05
17;"Nacho";"D";29;1719;0;1;0.26;0.26;0.35;1.06;0.02;0.06
18;"Dani Ceballos";"M";20;556;0;2;1.13;1.94;0.52;1.32;0.08;0.21
19;"Kepa";"GK";14;1194;0;0;0;0;0;0;0;0
20;"Ferland Mendy";"D";23;1758;0;0;0.26;0.56;0.27;1.11;0.01;0.06
21;"Andriy Lunin";"GK";21;1890;0;0;0;0.05;0;0.11;0;0.01
22;"Eduardo Camavinga";"D M";31;1847;0;2;0.83;0.97;0.88;1.75;0.04;0.09
23;"Eder Militão";"D";10;498;0;0;0.36;0;0.08;0;0.01;0
24;"Alvaro Rodríguez";"S";1;1;0;0;0;0;0;0;0;0
25;"Mario Martín";"S";2;9;0;0;0;0;0;0;0;0
26;"Nico Paz";"S";4;12;0;0;15;0;0.1;0;0.78;0
27;"Gonzalo García";"S";2;10;0;0;9;0;0.05;0;0.49;0
