number,player,position,apps,min,goals,assists,sp90m,kp90,xG,xA,xG90,xA90,season,linea
1,Kylian Mbappe-Lottin,F,28,2422,24,4,4.91,2.34,23.77,7.03,0.88,0.26,25-26,Ataque
2,Vinícius Júnior,F M,34,2697,15,5,3.2,2.17,14.06,6.33,0.47,0.21,25-26,Ataque
3,Federico Valverde,D F M,32,2675,5,8,1.68,1.45,2.23,5.01,0.08,0.17,25-26,Medio
4,Jude Bellingham,M,25,1742,4,4,2.48,1.86,7.44,3.04,0.38,0.16,25-26,Medio
5,Gonzalo García,F,27,765,4,1,2.12,1.06,4.65,1.32,0.55,0.16,25-26,Ataque
6,Arda Güler,F M,32,2063,4,9,2.14,3.05,4.81,8.85,0.21,0.39,25-26,Medio
7,Eder Militão,D,16,1147,2,1,1.65,0.63,1.89,1.12,0.15,0.09,25-26,Defensa
8,Álvaro Fernández,D,26,2154,2,2,0.33,1.09,0.4,1.63,0.02,0.07,25-26,Defensa
9,Dean Huijsen,D,26,1939,2,2,0.93,0.46,2.33,1.15,0.11,0.05,25-26,Defensa
10,Raúl,D,21,1512,2,0,0.83,0.3,1.51,0.46,0.09,0.03,25-26,Defensa
11,Antonio Rüdiger,D,17,1411,1,0,0.77,0.13,1.4,0.31,0.09,0.02,25-26,Defensa
12,Aurelien Tchouameni,M,31,2521,1,0,1.5,0.79,2.84,2.22,0.1,0.08,25-26,Medio
13,Eduardo Camavinga,D M,27,1398,1,0,0.77,0.9,1.12,1.72,0.07,0.11,25-26,Medio
14,Rodrygo,F M,19,633,1,3,3.84,2.42,2.85,2.88,0.4,0.41,25-26,Ataque
15,Fran García,D M,12,840,1,1,0.64,0.54,0.95,0.3,0.1,0.03,25-26,Medio
16,Franco Mastantuono,D F M,20,853,1,0,2.85,1.27,2.42,2.71,0.26,0.29,25-26,Ataque
17,David Alaba,D,9,256,0,0,1.05,0.0,0.18,0.0,0.06,0.0,25-26,Defensa
18,Thibaut Courtois,GK,29,2610,0,0,0.0,0.0,0.0,0.0,0.0,0.0,25-26,Portero
19,Trent Alexander-Arnold,D M,19,1099,0,4,0.66,2.21,0.33,2.0,0.03,0.16,25-26,Medio
20,Daniel Carvajal,D,14,762,0,0,0.59,0.94,0.28,1.33,0.03,0.16,25-26,Defensa
21,Dani Ceballos,M,15,438,0,0,0.62,1.85,0.08,0.59,0.02,0.12,25-26,Medio
22,Ferland Mendy,D,5,204,0,0,0.0,0.0,0.0,0.0,0.0,0.0,25-26,Defensa
23,Brahim Diaz,F M,27,1075,0,5,0.92,2.09,1.0,2.92,0.08,0.24,25-26,Ataque
24,Andriy Lunin,GK,6,540,0,0,0.0,0.0,0.0,0.0,0.0,0.0,25-26,Portero
25,Endrick,S,1,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,25-26,Defensa
26,David Jiménez,D,2,78,0,0,1.15,0.0,0.09,0.0,0.1,0.0,25-26,Defensa
27,Diego Aguado,S,1,24,0,0,0.0,0.0,0.0,0.0,0.0,0.0,25-26,Defensa
28,Daniel Yáñez,S,1,27,0,1,0.0,6.67,0.0,0.37,0.0,1.24,25-26,Defensa
29,Valde,D,1,81,0,0,0.0,1.11,0.0,0.02,0.0,0.02,25-26,Defensa
30,Thiago Pitarch,M,8,454,0,0,0.59,0.4,0.19,0.23,0.04,0.05,25-26,Medio
31,Jorge Cestero,S,2,8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,25-26,Defensa
32,César Palacios,S,4,55,0,0,3.27,1.64,0.13,0.03,0.21,0.05,25-26,Defensa
33,Manuel Ángel,M,4,86,0,0,2.09,0.0,0.06,0.0,0.06,0.0,25-26,Medio
1,Jude Bellingham,F M,28,2351,19,6,2.41,1.84,12.97,5.89,0.5,0.23,23-24,Medio
2,Vinícius Júnior,F M,26,1902,15,5,3.69,1.47,16.0,4.43,0.76,0.21,23-24,Ataque
3,Joselu,F,34,1631,10,2,3.48,0.66,13.56,2.33,0.75,0.13,23-24,Ataque
4,Rodrygo,F,34,2426,10,5,3.23,1.71,12.43,4.42,0.46,0.16,23-24,Ataque
5,Brahim Diaz,F M,31,1548,8,6,2.21,1.74,7.06,5.1,0.41,0.3,23-24,Ataque
6,Arda Güler,F M,10,365,6,0,3.7,0.49,1.99,0.18,0.49,0.04,23-24,Medio
7,Daniel Carvajal,D,28,2191,4,3,0.74,0.86,2.58,2.85,0.11,0.12,23-24,Defensa
8,Lucas Vázquez,D,29,1385,3,5,0.71,1.88,1.48,5.11,0.1,0.33,23-24,Defensa
9,Aurelien Tchouameni,D M,27,1989,3,1,1.22,0.45,1.13,1.02,0.05,0.05,23-24,Medio
10,Luka Modric,M,32,1673,2,6,1.34,2.96,1.23,7.65,0.07,0.41,23-24,Medio
11,Federico Valverde,M,37,2931,2,7,1.72,1.5,4.2,6.22,0.13,0.19,23-24,Medio
12,Antonio Rüdiger,D,33,2704,1,0,0.63,0.17,1.83,1.11,0.06,0.04,23-24,Defensa
13,Toni Kroos,M,33,2152,1,8,1.46,2.59,1.73,6.07,0.07,0.25,23-24,Medio
14,Fran García,D,25,1377,1,5,0.59,1.05,0.86,2.61,0.06,0.17,23-24,Defensa
15,David Alaba,D,14,1154,0,1,1.09,0.78,1.29,0.84,0.1,0.07,23-24,Defensa
16,Thibaut Courtois,GK,4,336,0,0,0.0,0.27,0.0,0.18,0.0,0.05,23-24,Portero
17,Nacho,D,29,1719,0,1,0.26,0.26,0.35,1.06,0.02,0.06,23-24,Defensa
18,Dani Ceballos,M,20,556,0,2,1.13,1.94,0.52,1.32,0.08,0.21,23-24,Medio
19,Kepa,GK,14,1194,0,0,0.0,0.0,0.0,0.0,0.0,0.0,23-24,Portero
20,Ferland Mendy,D,23,1758,0,0,0.26,0.56,0.27,1.11,0.01,0.06,23-24,Defensa
21,Andriy Lunin,GK,21,1890,0,0,0.0,0.05,0.0,0.11,0.0,0.01,23-24,Portero
22,Eduardo Camavinga,D M,31,1847,0,2,0.83,0.97,0.88,1.75,0.04,0.09,23-24,Medio
23,Eder Militão,D,10,498,0,0,0.36,0.0,0.08,0.0,0.01,0.0,23-24,Defensa
24,Alvaro Rodríguez,S,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,23-24,Defensa
25,Mario Martín,S,2,9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,23-24,Defensa
26,Nico Paz,S,4,12,0,0,15.0,0.0,0.1,0.0,0.78,0.0,23-24,Defensa
27,Gonzalo García,S,2,10,0,0,9.0,0.0,0.05,0.0,0.49,0.0,23-24,Defensa
1,Kylian Mbappe-Lottin,F,34,2938,31,3,4.93,1.56,30.14,9.39,0.92,0.29,24-25,Ataque
2,Vinícius Júnior,F M,30,2267,11,8,3.22,2.3,12.78,8.64,0.51,0.34,24-25,Ataque
3,Jude Bellingham,M,31,2510,9,8,2.22,1.54,13.08,4.31,0.47,0.15,24-25,Medio
4,Federico Valverde,D M,36,3035,6,4,1.69,1.16,2.51,4.41,0.07,0.13,24-25,Medio
5,Rodrygo,F M,30,1965,6,5,2.47,2.2,4.72,4.0,0.22,0.18,24-25,Ataque
6,Brahim Diaz,F M,31,1368,4,2,1.84,1.51,6.34,3.3,0.42,0.22,24-25,Ataque
7,Arda Güler,F M,28,1252,3,4,2.8,2.8,4.0,6.17,0.29,0.44,24-25,Medio
8,Luka Modric,M,35,1774,2,6,1.12,3.35,1.62,7.9,0.08,0.4,24-25,Medio
9,Lucas Vázquez,D,32,2218,1,5,0.61,1.38,1.87,5.29,0.08,0.21,24-25,Defensa
10,Daniel Carvajal,D,8,613,1,0,0.44,0.73,1.1,0.13,0.16,0.02,24-25,Defensa
11,Eduardo Camavinga,D M,19,1079,1,2,0.67,0.92,0.89,0.91,0.07,0.08,24-25,Medio
12,Eder Militão,D,12,938,1,1,0.96,0.58,0.7,0.5,0.07,0.05,24-25,Defensa
13,Jacobo Ramón,D,3,201,1,0,0.9,0.45,0.49,0.07,0.22,0.03,24-25,Defensa
14,Endrick,F,22,324,1,0,6.67,1.39,2.93,0.66,0.81,0.18,24-25,Ataque
15,David Alaba,D,7,312,0,0,0.0,0.29,0.0,0.05,0.0,0.02,24-25,Defensa
16,Thibaut Courtois,GK,30,2700,0,0,0.0,0.03,0.0,0.17,0.0,0.01,24-25,Portero
17,Antonio Rüdiger,D,29,2291,0,0,0.94,0.27,1.81,0.56,0.07,0.02,24-25,Defensa
18,Dani Ceballos,M,23,1235,0,0,0.51,1.6,0.31,1.94,0.02,0.14,24-25,Medio
19,Jesús Vallejo,D,4,139,0,1,0.0,1.29,0.0,0.46,0.0,0.3,24-25,Defensa
20,Ferland Mendy,D,14,1019,0,1,0.0,0.26,0.0,0.64,0.0,0.06,24-25,Defensa
21,Aurelien Tchouameni,D M,32,2697,0,0,0.63,0.17,1.82,0.72,0.06,0.02,24-25,Medio
22,Andriy Lunin,GK,7,630,0,1,0.0,0.14,0.0,0.92,0.0,0.13,24-25,Portero
23,Fran García,D,31,2180,0,2,0.58,0.99,1.22,2.22,0.05,0.09,24-25,Defensa
24,Francisco González,GK,1,90,0,0,0.0,0.0,0.0,0.0,0.0,0.0,24-25,Portero
25,Gonzalo García,S,3,46,0,1,1.96,1.96,0.49,0.92,0.96,1.81,24-25,Defensa
26,Chema Andres,S,2,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,24-25,Defensa
27,Raúl,D,23,1675,0,1,0.16,0.38,0.07,0.76,0.0,0.04,24-25,Defensa
28,Lorenzo Aguado,S,2,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,24-25,Defensa
29,Daniel Yáñez,S,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,24-25,Defensa
30,Víctor Muñoz,S,2,27,0,0,3.33,0.0,0.34,0.0,1.12,0.0,24-25,Defensa
